count, x, y, z
373, 0.991153, -3.21025, -0.277387
374, 0, 0, 0
375, 0.920053, -3.12521, -0.275644
376, 0, 0, 0
377, 0.847033, -3.03364, -0.273326
378, 0, 0, 0
379, 0.772059, -2.93506, -0.270375
380, 0, 0, 0
381, 0.695096, -2.82892, -0.266728
382, 0, 0, 0
383, 0.616108, -2.71452, -0.262302
384, 0, 0, 0
385, 0.535066, -2.59106, -0.256999
386, 0, 0, 0
387, 0.451949, -2.45752, -0.250696
388, 0, 0, 0
389, 0.366753, -2.31264, -0.243236
390, 0, 0, 0
391, 0.279514, -2.1548, -0.234411
392, 0, 0, 0
393, 0.190331, -1.98186, -0.223941
394, 0, 0, 0
395, 0.0994425, -1.79086, -0.211427
396, 0, 0, 0
397, 0.00736583, -1.57753, -0.196271
398, 0, 0, 0
399, -0.0847372, -1.33526, -0.1775
400, 0, 0, 0
401, -0.173997, -1.05265, -0.153331
402, 0, 0, 0
403, -0.25168, -0.706506, -0.119773
404, 0, 0, 0
405, -0.273763, -0.231581, -0.0631681
406, 0, 0, 0
407, 0.213014, 0.277803, 0.0613521
408, 0, 0, 0
409, 0.684918, 0.261725, 0.11833
410, 0, 0, 0
411, 1.02377, 0.184096, 0.150984
412, 0, 0, 0
413, 1.29605, 0.0933188, 0.173671
414, 0, 0, 0
415, 1.52562, -0.000844419, 0.190597
416, 0, 0, 0
417, 1.72426, -0.095111, 0.203644
418, 0, 0, 0
419, 1.89882, -0.188107, 0.21384
420, 0, 0, 0
421, 2.05373, -0.279188, 0.221818
422, 0, 0, 0
423, 2.19206, -0.368033, 0.228003
424, 0, 0, 0
425, 2.31601, -0.454478, 0.232692
426, 0, 0, 0
427, 2.42728, -0.538443, 0.236105
428, 0, 0, 0
429, 2.52718, -0.619889, 0.238411
430, 0, 0, 0
431, 2.61673, -0.698804, 0.239741
432, 0, 0, 0
433, 2.69678, -0.775184, 0.2402
434, 0, 0, 0
435, 2.76803, -0.849035, 0.239874
436, 0, 0, 0
437, 2.83103, -0.920362, 0.238834
438, 0, 0, 0
439, 2.88629, -0.989169, 0.23714
440, 0, 0, 0
441, 2.93419, -1.05546, 0.234842
442, 0, 0, 0
443, 2.9751, -1.11924, 0.231984
444, 0, 0, 0
445, 3.00931, -1.18049, 0.228602
446, 0, 0, 0
447, 3.03706, -1.23921, 0.224731
448, 0, 0, 0
449, 3.05859, -1.2954, 0.220399
450, 0, 0, 0
451, 3.07407, -1.34902, 0.215631
452, 0, 0, 0
453, 3.08366, -1.40006, 0.21045
454, 0, 0, 0
455, 3.08749, -1.44848, 0.204876
456, 0, 0, 0
457, 3.08568, -1.49426, 0.198927
458, 0, 0, 0
459, 3.07831, -1.53735, 0.192621
460, 0, 0, 0
461, 3.06546, -1.5777, 0.185971
462, 0, 0, 0
463, 3.04718, -1.61525, 0.178991
464, 0, 0, 0
465, 3.0235, -1.64995, 0.171695
466, 0, 0, 0
467, 2.99445, -1.68171, 0.164094
468, 0, 0, 0
469, 2.96003, -1.71045, 0.156198
470, 0, 0, 0
471, 2.92022, -1.73608, 0.148018
472, 0, 0, 0
473, 2.875, -1.75849, 0.139563
474, 0, 0, 0
475, 2.82431, -1.77756, 0.130844
476, 0, 0, 0
477, 2.7681, -1.79315, 0.121868
478, 0, 0, 0
479, 2.70627, -1.80511, 0.112645
480, 0, 0, 0
481, 2.63871, -1.81324, 0.103184
482, 0, 0, 0
483, 2.56531, -1.81735, 0.0934947
484, 0, 0, 0
485, 2.48589, -1.8172, 0.083586
486, 0, 0, 0
487, 2.40027, -1.81252, 0.0734689
488, 0, 0, 0
489, 2.30822, -1.80298, 0.0631553
490, 0, 0, 0
491, 2.20947, -1.7882, 0.0526588
492, 0, 0, 0
493, 2.10371, -1.76775, 0.0419955
494, 0, 0, 0
495, 1.99055, -1.74108, 0.031185
496, 0, 0, 0
497, 1.86955, -1.70753, 0.0202522
498, 0, 0, 0
499, 1.74014, -1.6663, 0.0092292
500, 0, 0, 0
501, 1.60164, -1.61637, -0.00184066
502, 0, 0, 0
503, 1.45322, -1.5564, -0.0128972
504, 0, 0, 0
505, 1.29381, -1.48463, -0.0238532
506, 0, 0, 0
507, 1.12201, -1.39862, -0.0345758
508, 0, 0, 0
509, 0.935981, -1.29479, -0.0448503
510, 0, 0, 0
511, 0.733161, -1.16756, -0.0543
512, 0, 0, 0
513, 0.509862, -1.0073, -0.0621795
514, 0, 0, 0
515, 0.26072, -0.794338, -0.0667021
516, 0, 0, 0
517, -0.0189466, -0.473758, -0.061588
518, 0, 0, 0
519, -0.0841159, 0.221378, 0.0171577
520, 0, 0, 0
521, 0.343922, 0.618301, 0.120278
522, 0, 0, 0
523, 0.705487, 0.855445, 0.195117
524, 0, 0, 0
525, 1.02973, 1.04548, 0.259401
526, 0, 0, 0
527, 1.33083, 1.21167, 0.317813
528, 0, 0, 0
529, 1.61583, 1.36311, 0.372368
530, 0, 0, 0
531, 1.88883, 1.50437, 0.424149
532, 0, 0, 0
533, 2.15242, 1.63812, 0.473817
534, 0, 0, 0
535, 2.4084, 1.76606, 0.521807
536, 0, 0, 0
537, 2.65805, 1.88936, 0.568427
538, 0, 0, 0
539, 2.90235, 2.00885, 0.6139
540, 0, 0, 0
541, 3.14204, 2.12514, 0.658397
542, 0, 0, 0
543, 3.3777, 2.23871, 0.702051
544, 0, 0, 0
545, 3.60982, 2.34993, 0.744968
546, 0, 0, 0
547, 3.83878, 2.45909, 0.787234
548, 0, 0, 0
549, 4.06491, 2.56644, 0.828919
550, 0, 0, 0
551, 4.28849, 2.67218, 0.870083
552, 0, 0, 0
553, 4.50974, 2.77647, 0.910776
554, 0, 0, 0
555, 4.72887, 2.87945, 0.951041
556, 0, 0, 0
557, 4.94606, 2.98125, 0.990914
558, 0, 0, 0
559, 5.16146, 3.08196, 1.03043
560, 0, 0, 0
561, 5.37519, 3.18169, 1.06961
562, 0, 0, 0
563, 5.58738, 3.2805, 1.10849
564, 0, 0, 0
565, 5.79814, 3.37847, 1.14708
566, 0, 0, 0
567, 6.00756, 3.47566, 1.1854
568, 0, 0, 0
569, 6.21572, 3.57213, 1.22348
570, 0, 0, 0
571, 6.42271, 3.66791, 1.26133
572, 0, 0, 0
573, 6.62858, 3.76306, 1.29896
574, 0, 0, 0
575, 6.83341, 3.85762, 1.33638
576, 0, 0, 0
577, 7.03726, 3.95162, 1.37361
578, 0, 0, 0
579, 7.24016, 4.0451, 1.41066
580, 0, 0, 0
581, 7.44218, 4.13808, 1.44753
582, 0, 0, 0
583, 7.64336, 4.23059, 1.48424
584, 0, 0, 0
585, 7.84374, 4.32266, 1.5208
586, 0, 0, 0
587, 8.04335, 4.41431, 1.55721
588, 0, 0, 0
589, 8.24224, 4.50556, 1.59348
590, 0, 0, 0
591, 8.44043, 4.59643, 1.62961
592, 0, 0, 0
593, 8.63795, 4.68693, 1.66561
594, 0, 0, 0
595, 8.83485, 4.7771, 1.70149
596, 0, 0, 0
597, 9.03113, 4.86693, 1.73726
598, 0, 0, 0
599, 9.22682, 4.95645, 1.77291
600, 0, 0, 0
601, 9.42196, 5.04566, 1.80845
602, 0, 0, 0
603, 9.61656, 5.13459, 1.84389
604, 0, 0, 0
605, 9.81063, 5.22324, 1.87924
606, 0, 0, 0
607, 10.0042, 5.31162, 1.91448
608, 0, 0, 0
609, 10.1973, 5.39975, 1.94963
610, 0, 0, 0
611, 10.3899, 5.48764, 1.9847
612, 0, 0, 0
613, 10.5821, 5.57528, 2.01968
614, 0, 0, 0
615, 10.7739, 5.6627, 2.05457
616, 0, 0, 0
617, 10.9652, 5.7499, 2.08939
618, 0, 0, 0
619, 11.1561, 5.83689, 2.12413
620, 0, 0, 0
621, 11.3467, 5.92367, 2.1588
622, 0, 0, 0
623, 11.5368, 6.01026, 2.19339
624, 0, 0, 0
625, 11.7266, 6.09665, 2.22791
626, 0, 0, 0
627, 11.9161, 6.18286, 2.26237
628, 0, 0, 0
629, 12.1052, 6.26889, 2.29676
630, 0, 0, 0
631, 12.2939, 6.35475, 2.33109
632, 0, 0, 0
633, 12.4824, 6.44044, 2.36535
634, 0, 0, 0
635, 12.6705, 6.52597, 2.39956
636, 0, 0, 0
637, 12.8583, 6.61134, 2.43371
638, 0, 0, 0
639, 13.0458, 6.69656, 2.4678
640, 0, 0, 0
641, 13.2331, 6.78163, 2.50184
642, 0, 0, 0
643, 13.42, 6.86656, 2.53582
644, 0, 0, 0
645, 13.6067, 6.95134, 2.56976
646, 0, 0, 0
647, 13.7931, 7.03599, 2.60364
648, 0, 0, 0
649, 13.9793, 7.12051, 2.63747
650, 0, 0, 0
651, 14.1652, 7.20489, 2.67126
652, 0, 0, 0
653, 14.3508, 7.28916, 2.705
654, 0, 0, 0
655, 14.5362, 7.3733, 2.73869
656, 0, 0, 0
657, 14.7214, 7.45732, 2.77234
658, 0, 0, 0
659, 14.9063, 7.54122, 2.80595
660, 0, 0, 0
661, 15.0911, 7.62501, 2.83951
662, 0, 0, 0
663, 15.2756, 7.70869, 2.87303
664, 0, 0, 0
665, 15.4598, 7.79227, 2.90652
666, 0, 0, 0
667, 15.6439, 7.87574, 2.93996
668, 0, 0, 0
669, 15.8278, 7.9591, 2.97337
670, 0, 0, 0
