count,x,y,z,time
667,-0.568551,-0.932683,-0.167178,1051
642,0,0,0,1052
214,-0.594593,-0.884869,-0.165041,1053
979,0,0,0,1054
478,-0.616754,-0.831347,-0.161839,1055
446,0,0,0,1056
331,-0.634527,-0.771969,-0.157497,1057
71,0,0,0,1058
998,-0.647291,-0.706551,-0.151923,1059
49,0,0,0,1060
48,-0.654269,-0.634867,-0.145001,1061
159,0,0,0,1062
38,-0.654466,-0.556645,-0.136586,1063
506,0,0,0,1064
199,-0.646568,-0.471576,-0.126491,1065
441,0,0,0,1066
102,-0.628777,-0.379324,-0.11447,1067
253,0,0,0,1068
488,-0.598536,-0.279587,-0.10019,1069
427,0,0,0,1070
871,-0.551998,-0.172259,-0.083189,1071
636,0,0,0,1072
176,-0.482992,-0.0579332,-0.0628088,1073
108,0,0,0,1074
369,-0.380787,0.0603696,-0.0381174,1075
513,0,0,0,1076
789,-0.225497,0.170263,-0.00811637,1077
463,0,0,0,1078
492,0.0107047,0.219098,0.0247953,1079
829,0,0,0,1080
146,0.238891,0.102969,0.0390381,1081
192,0,0,0,1082
191,0.360812,-0.0589814,0.0359086,1083
233,0,0,0,1084
564,0.423827,-0.211295,0.0269122,1085
845,0,0,0,1086
69,0.454721,-0.347573,0.0158733,1087
845,0,0,0,1088
755,0.466036,-0.468852,0.00414947,1089
15,0,0,0,1090
589,0.464329,-0.576986,-0.00769073,1091
587,0,0,0,1092
214,0.45341,-0.673618,-0.0193776,1093
404,0,0,0,1094
692,0.435681,-0.760067,-0.0307716,1095
931,0,0,0,1096
428,0.412758,-0.837376,-0.0417955,1097
866,0,0,0,1098
767,0.385783,-0.906375,-0.0524047,1099
315,0,0,0,1100
227,0.355597,-0.967726,-0.0625716,1101
748,0,0,0,1102
173,0.322841,-1.02196,-0.0722786,1103
411,0,0,0,1104
814,0.28802,-1.06952,-0.0815132,1105
679,0,0,0,1106
960,0.25154,-1.11076,-0.0902659,1107
145,0,0,0,1108
765,0.213738,-1.14596,-0.0985283,1109
384,0,0,0,1110
570,0.174899,-1.17536,-0.106292,1111
418,0,0,0,1112
117,0.13527,-1.19916,-0.113549,1113
757,0,0,0,1114
192,0.0950699,-1.2175,-0.120289,1115
902,0,0,0,1116
894,0.0544975,-1.23051,-0.126502,1117
502,0,0,0,1118
975,0.013737,-1.23826,-0.132176,1119
90,0,0,0,1120
142,-0.0270369,-1.24082,-0.137295,1121
566,0,0,0,1122
109,-0.067654,-1.23822,-0.141843,1123
993,0,0,0,1124
266,-0.107945,-1.23047,-0.1458,1125
806,0,0,0,1126
15,-0.147737,-1.21753,-0.149143,1127
13,0,0,0,1128
739,-0.18685,-1.19936,-0.151845,1129
310,0,0,0,1130
295,-0.225093,-1.17589,-0.153876,1131
210,0,0,0,1132
402,-0.262254,-1.147,-0.155198,1133
706,0,0,0,1134
604,-0.2981,-1.11255,-0.155768,1135
480,0,0,0,1136
919,-0.332364,-1.07236,-0.155535,1137
150,0,0,0,1138
453,-0.364735,-1.02621,-0.154436,1139
113,0,0,0,1140
917,-0.394841,-0.973812,-0.152397,1141
770,0,0,0,1142
976,-0.422232,-0.914825,-0.149327,1143
226,0,0,0,1144
616,-0.446342,-0.848825,-0.145113,1145
789,0,0,0,1146
733,-0.466445,-0.775291,-0.13961,1147
251,0,0,0,1148
752,-0.481581,-0.693573,-0.132634,1149
839,0,0,0,1150
684,-0.490425,-0.602858,-0.123937,1151
867,0,0,0,1152
978,-0.491074,-0.502123,-0.11318,1153
870,0,0,0,1154
326,-0.48063,-0.390092,-0.0998773,1155
386,0,0,0,1156
694,-0.45435,-0.265243,-0.0832925,1157
394,0,0,0,1158
842,-0.403674,-0.126178,-0.0622436,1159
980,0,0,0,1160
310,-0.311099,0.0259699,-0.034741,1161
162,0,0,0,1162
570,-0.137169,0.17133,0.00184163,1163
82,0,0,0,1164
729,0.141889,0.185435,0.0370134,1165
692,0,0,0,1166
349,0.334006,0.0858577,0.0494939,1167
654,0,0,0,1168
798,0.462193,-0.0301643,0.0524944,1169
890,0,0,0,1170
223,0.553461,-0.143774,0.0512969,1171
984,0,0,0,1172
346,0.621084,-0.25123,0.0479038,1173
778,0,0,0,1174
471,0.672151,-0.351971,0.0432302,1175
104,0,0,0,1176
146,0.710857,-0.446216,0.0377588,1177
638,0,0,0,1178
270,0.739899,-0.534366,0.0317717,1179
512,0,0,0,1180
277,0.761115,-0.616833,0.0254466,1181
971,0,0,0,1182
868,0.775826,-0.693992,0.0189026,1183
10,0,0,0,1184
128,0.785013,-0.76617,0.0122229,1185
316,0,0,0,1186
960,0.789427,-0.833647,0.00546825,1187
22,0,0,0,1188
